sp|Q74EE6|Y1016_GEOSL	K07085
sp|Q746R5|DCUP_GEOSL	K01599
sp|Q749N5|ACKA_GEOSL	K00925
sp|Q74GG6|DNAA_GEOSL	K02313
sp|Q74GY1|ATPG_GEOSL	K02115
sp|Q74BU2|COAX_GEOSL	K03525
sp|Q74GT6|DAPA_GEOSL	K01714
sp|P61985|CBID_GEOSL	K02188
sp|Q749L1|CYCC_GEOSL
sp|Q748D8|DDL_GEOSL	K01921
sp|Q74AE2|LIPB_GEOSL	K03801
sp|Q74B44|MIAB_GEOSL	K06168
sp|Q74D29|AROE_GEOSL	K00014
sp|Q747R4|CHED3_GEOSL	K03411
sp|Q746Q4|MNMG_GEOSL	K03495
sp|Q74CI6|NRDR_GEOSL	K07738
sp|Q746T4|NUOI2_GEOSL	K00338
sp|Q746S3|NUOA2_GEOSL	K00330
sp|Q74GU2|OTC_GEOSL	K00611
sp|P60542|HIS3_GEOSL	K01496
sp|Q74GA6|NUOC_GEOSL	K00332
sp|Q74BW7|ILVD_GEOSL	K01687
sp|Q748D4|MURD_GEOSL	K01925
sp|Q74AT9|LPXB_GEOSL	K00748
sp|Q74AC8|METXA_GEOSL	K00641
sp|Q749N8|MOAC_GEOSL	K03637
sp|Q74E54|NDK_GEOSL	K00940
sp|Q74FS7|END4_GEOSL	K01151
sp|P60536|HIS2_GEOSL	K01523
sp|P60599|HIS5_GEOSL	K02501
sp|P61655|KDSA_GEOSL	K01627
sp|Q74AA5|KUP2_GEOSL	K03549
sp|Q748G1|CSRA_GEOSL	K03563
sp|Q74CA7|EX7L_GEOSL	K03601
sp|Q74AU2|LPXK_GEOSL	K00912
sp|Q749A8|KAD_GEOSL	K00939
sp|Q748I9|ENGB_GEOSL	K03978
sp|Q74GT3|DAPAT_GEOSL	K10206
sp|P60500|GUAA_GEOSL	K01951
sp|P61323|HPRK_GEOSL	K06023
sp|Q74G73|HYPA_GEOSL	K04651
sp|Q747A0|ISPF_GEOSL	K01770
sp|Q74F05|NQOR_GEOSL	K03809
sp|Q746Y8|MTNA_GEOSL	K08963
sp|P61000|HIS8_GEOSL	K00817
sp|Q74BY2|KDSB_GEOSL	K00979
sp|P61608|LEXA1_GEOSL	K01356
sp|Q747C1|KUP3_GEOSL	K03549
sp|Q748D2|MURE_GEOSL	K01928
sp|Q74CM2|F16PA_GEOSL	K03841
sp|Q74AB0|KDPA_GEOSL	K01546
sp|Q74GA9|GSA_GEOSL	K01845
sp|Q749Y8|ISPH_GEOSL	K03527
sp|Q74AK4|KUP1_GEOSL	K03549
sp|Q74GA0|NUOI1_GEOSL	K00338
sp|P60581|HIS4_GEOSL	K01814
sp|Q74A22|MNMA_GEOSL	K00566
sp|P61688|IF1_GEOSL	K02518
sp|Q74BP0|MUTL_GEOSL	K03572
sp|Q74E52|MTAP_GEOSL	K00772
sp|Q74BW9|ILVC_GEOSL	K00053
sp|Q748X2|LEU3_GEOSL	K00052
sp|Q74AP9|NHAA_GEOSL	K03313
sp|Q748J3|COBT_GEOSL	K00768
sp|P61333|EFTS_GEOSL	K02357
sp|Q747F5|HEMH_GEOSL	K01772
sp|Q747V4|MSRA_GEOSL	K07304
tr|Q74DL9|Q74DL9_GEOSL
tr|Q74AB9|Q74AB9_GEOSL	K00986
tr|Q74GE7|Q74GE7_GEOSL
tr|Q749Z7|Q749Z7_GEOSL
tr|Q749Z2|Q749Z2_GEOSL
tr|I7FK82|I7FK82_GEOSL
tr|Q74F47|Q74F47_GEOSL
tr|Q749K4|Q749K4_GEOSL
tr|Q749K3|Q749K3_GEOSL
tr|Q749Z8|Q749Z8_GEOSL
tr|Q74F48|Q74F48_GEOSL	K07497
tr|Q74A98|Q74A98_GEOSL
tr|Q749B8|Q749B8_GEOSL	K01992
tr|Q74EH6|Q74EH6_GEOSL	K06903
tr|Q74AV7|Q74AV7_GEOSL	K01791
tr|Q748C2|Q748C2_GEOSL
tr|Q74BZ8|Q74BZ8_GEOSL	K07658
tr|Q74C20|Q74C20_GEOSL	K16692
tr|Q74ED3|Q74ED3_GEOSL	K03406
tr|Q74BT6|Q74BT6_GEOSL	K02481
tr|Q748Q4|Q748Q4_GEOSL	K07644
tr|Q74DH8|Q74DH8_GEOSL
tr|Q74BG6|Q74BG6_GEOSL	K01342
tr|Q747X2|Q747X2_GEOSL
tr|Q74CR7|Q74CR7_GEOSL	K09458
tr|Q74DN0|Q74DN0_GEOSL	K03413
tr|Q74GY5|Q74GY5_GEOSL	K02109
tr|Q749J3|Q749J3_GEOSL	K22446
tr|Q74B47|Q74B47_GEOSL	K00088
tr|Q74EC2|Q74EC2_GEOSL	K03406
tr|Q74CE4|Q74CE4_GEOSL	K01996
tr|Q74CL8|Q74CL8_GEOSL	K13587
tr|Q74EF4|Q74EF4_GEOSL	K00208
tr|Q74A56|Q74A56_GEOSL
tr|Q74DL0|Q74DL0_GEOSL	K07053
tr|Q74FR5|Q74FR5_GEOSL	K02335
tr|Q74GA2|Q74GA2_GEOSL
tr|Q747H1|Q747H1_GEOSL	K22373
tr|Q749P6|Q749P6_GEOSL	K18138
tr|Q74BE3|Q74BE3_GEOSL	K00198
tr|Q74BG3|Q74BG3_GEOSL	K05837
tr|Q748K7|Q748K7_GEOSL	K05936
tr|Q74EG2|Q74EG2_GEOSL
tr|Q74G63|Q74G63_GEOSL
tr|Q74AN9|Q74AN9_GEOSL	K02488
tr|Q74A17|Q74A17_GEOSL	K07814
tr|Q747M6|Q747M6_GEOSL	K08301
tr|Q74GX3|Q74GX3_GEOSL	K03620
tr|Q74GE0|Q74GE0_GEOSL	K04656
tr|Q747W5|Q747W5_GEOSL
tr|Q74D44|Q74D44_GEOSL	K02533
tr|Q74EY7|Q74EY7_GEOSL
tr|Q74A66|Q74A66_GEOSL	K07714
tr|Q74CX0|Q74CX0_GEOSL
tr|Q74D90|Q74D90_GEOSL
tr|Q746W5|Q746W5_GEOSL
tr|Q74BN8|Q74BN8_GEOSL
tr|Q74DP1|Q74DP1_GEOSL	K09922
tr|Q748L3|Q748L3_GEOSL
tr|Q74CE2|Q74CE2_GEOSL	K01998
tr|Q748K6|Q748K6_GEOSL	K03394
tr|Q74GV7|Q74GV7_GEOSL
tr|Q74DJ5|Q74DJ5_GEOSL
tr|Q748L8|Q748L8_GEOSL
tr|Q74H51|Q74H51_GEOSL
tr|Q74H91|Q74H91_GEOSL	K02338
tr|Q74AN1|Q74AN1_GEOSL
tr|Q74AM8|Q74AM8_GEOSL
tr|Q74BM8|Q74BM8_GEOSL
tr|Q74AA0|Q74AA0_GEOSL	K08177
tr|Q74DF1|Q74DF1_GEOSL	K07448
tr|Q74GQ8|Q74GQ8_GEOSL
tr|Q74CP6|Q74CP6_GEOSL	K03075
tr|Q74D45|Q74D45_GEOSL
tr|Q74EE8|Q74EE8_GEOSL
tr|Q746Z5|Q746Z5_GEOSL	K06131
tr|Q74DE5|Q74DE5_GEOSL
tr|Q74FR9|Q74FR9_GEOSL
tr|Q748T9|Q748T9_GEOSL
tr|Q74CG3|Q74CG3_GEOSL
tr|Q74BB9|Q74BB9_GEOSL	K12071
tr|Q749Y4|Q749Y4_GEOSL	K14170
tr|Q749N6|Q749N6_GEOSL	K00625
tr|Q74G08|Q74G08_GEOSL
tr|Q748T4|Q748T4_GEOSL
tr|Q74A99|Q74A99_GEOSL
tr|Q74FL1|Q74FL1_GEOSL
tr|Q74AD2|Q74AD2_GEOSL
tr|Q74AQ6|Q74AQ6_GEOSL
tr|Q74GG5|Q74GG5_GEOSL
tr|Q74C62|Q74C62_GEOSL
tr|Q74CX4|Q74CX4_GEOSL
tr|Q747M5|Q747M5_GEOSL
tr|Q74A80|Q74A80_GEOSL
tr|Q74BB2|Q74BB2_GEOSL
tr|Q74EM2|Q74EM2_GEOSL	K03320
tr|Q74A48|Q74A48_GEOSL
tr|Q74E39|Q74E39_GEOSL
tr|Q74AB1|Q74AB1_GEOSL
tr|Q74E77|Q74E77_GEOSL
tr|Q74AL5|Q74AL5_GEOSL	K05571
tr|I7FKF5|I7FKF5_GEOSL
tr|Q746U8|Q746U8_GEOSL	K02517
tr|Q74G25|Q74G25_GEOSL
tr|Q749E5|Q749E5_GEOSL
tr|Q74A92|Q74A92_GEOSL
tr|Q749V4|Q749V4_GEOSL	K09793
tr|Q74B40|Q74B40_GEOSL
tr|Q74C34|Q74C34_GEOSL
tr|Q74DZ9|Q74DZ9_GEOSL	K08484
tr|Q749P9|Q749P9_GEOSL
tr|Q74DL3|Q74DL3_GEOSL	K03406
tr|Q747B7|Q747B7_GEOSL
tr|Q749R4|Q749R4_GEOSL	K13993
tr|Q74D33|Q74D33_GEOSL	K03118
tr|Q748I8|Q748I8_GEOSL
tr|Q74G97|Q74G97_GEOSL	K00341
tr|Q74H81|Q74H81_GEOSL	K01990
tr|Q74F13|Q74F13_GEOSL
tr|Q748C7|Q748C7_GEOSL
tr|I7FK79|I7FK79_GEOSL
tr|Q74AN8|Q74AN8_GEOSL
tr|Q746Z1|Q746Z1_GEOSL
tr|Q746U6|Q746U6_GEOSL	K05812
tr|Q74FA3|Q74FA3_GEOSL
tr|Q74GM6|Q74GM6_GEOSL	K02276
tr|I7FK74|I7FK74_GEOSL	K03657
tr|Q74FV8|Q74FV8_GEOSL
tr|Q74EN4|Q74EN4_GEOSL	K07263
tr|Q74C09|Q74C09_GEOSL
tr|I7FII7|I7FII7_GEOSL
tr|Q74DB4|Q74DB4_GEOSL	K06178
tr|Q748N3|Q748N3_GEOSL
tr|Q74B33|Q74B33_GEOSL
tr|Q74E07|Q74E07_GEOSL	K09764
tr|Q74H43|Q74H43_GEOSL
tr|Q74B64|Q74B64_GEOSL
tr|Q74GK7|Q74GK7_GEOSL	K07107
tr|Q74A75|Q74A75_GEOSL
tr|Q74F36|Q74F36_GEOSL
tr|Q74GI4|Q74GI4_GEOSL
tr|Q74A41|Q74A41_GEOSL	K04096
tr|Q74AP3|Q74AP3_GEOSL	K01069
tr|Q3V8C7|Q3V8C7_GEOSL	K02404
tr|Q74CE1|Q74CE1_GEOSL	K01997
tr|Q74DZ5|Q74DZ5_GEOSL
tr|Q749P1|Q749P1_GEOSL	K05773
tr|Q748U5|Q748U5_GEOSL
tr|Q74B87|Q74B87_GEOSL
tr|I7F9L9|I7F9L9_GEOSL
tr|Q74AC0|Q74AC0_GEOSL
tr|Q74CX6|Q74CX6_GEOSL
tr|Q74BL3|Q74BL3_GEOSL	K02666
tr|Q747N5|Q747N5_GEOSL
tr|Q747C3|Q747C3_GEOSL
tr|Q74DN9|Q74DN9_GEOSL	K03624
tr|Q74DE2|Q74DE2_GEOSL	K03406
tr|Q74CE3|Q74CE3_GEOSL	K01995
tr|Q746X7|Q746X7_GEOSL	K01996
tr|Q74G00|Q74G00_GEOSL
tr|Q74FA9|Q74FA9_GEOSL	K07315
tr|Q749A9|Q749A9_GEOSL	K01265
tr|Q74G01|Q74G01_GEOSL	K07665
tr|Q74AR1|Q74AR1_GEOSL	K01626
tr|Q74F51|Q74F51_GEOSL	K07150
tr|Q74E79|Q74E79_GEOSL
tr|Q74A01|Q74A01_GEOSL
tr|Q74B92|Q74B92_GEOSL	K21903
tr|Q74A67|Q74A67_GEOSL
tr|Q74CS4|Q74CS4_GEOSL	K07040
tr|Q74DU2|Q74DU2_GEOSL
